track_id,rows,genres
0E0DRHf5PfMeor0ZCwB3oT,2,2
0E3GkSUYpQCjwP8XDB5g5r,4,4
0E8q2Fx2XuzXCO2NSAppkR,2,2
0E9ZjEAyAwOXZ7wJC0PD33,3,3
0EB5fgdGQXZOiOMdRhKeCZ,2,2
0EH6REBbNSU1Xgti81Owel,2,2
0EH7sgeiFqDa3eS7ieW2zs,2,2
0EKqoSFmZW4dqaJvlEJtMe,3,3
0EO1Vz2i2yVjxHE08viezx,2,2
0EQc8pPwPTXxcXPzDjjmEq,3,3
0ERQd3bFJvmuU1ofB3EYPz,2,2
0ESIjVxnDnCDaTPo6sStHm,2,2
0EUEtq224zqzpzPHof2qmL,2,2
0EUJYK8k8lGaIAoubwalCu,2,2
0EVhfRiVBGjrIUFyW0Aaut,3,3
0EVlhi2DePy8Qfc3suq0to,2,2
0EYOdF5FCkgOJJla8DI2Md,2,2
0EZ3k6NTvkH1sQddEK4slm,2,2
0EZHiRC20SAuX4ChQA1MG9,2,2
0EaHW2BpzOP4P06FqUwkqL,4,4
0EcpFZArVrXZJ4vh9hLPsz,4,4
0EfsDEYaSjGYd66Pr881nq,2,2
0EhpEsp4L0oRGM0vmeaN5e,3,3
0EiZCuVOP3E9MobSidssSC,3,3
0EkRiaSjVR6njfczmpMd8P,2,2
0EkSHAQktdf7R26LRQiKGQ,2,2
0ElAcOj8tudMA6X6KZ7SMO,2,2
0EpO6LZgIlxTUHE2e1ckCa,5,4
0Ev1XvxAun4W2uh34XtZpx,5,5
0Ev562zA4pmUsBqjxsxxdx,2,2
0F245o4yDaGy2leKy2l2Ae,2,2
0F2BxpbxH8Yc3pLub48hrb,2,2
0F5GuukYSgfX6ALuyrCgMH,2,2
0F7yztNdCbVgf59S7TCx4u,2,2
0FBjsiiUFLET2xqeKVrGBE,2,2
0FBywYb06nuyLdn4gBlQLb,2,2
0FDMH2ahuIVzCybwHJK9zh,2,2
0FJ5C03igALJMeicHGorCo,4,4
0FLBNqc5oAiTt4J2e3fe3y,2,2
0FMLbet9blK5IgKktuqCBx,2,2
0FTfaxNtqgYbqPPcrWQ1IS,2,2
0FYD3N8NI3yQ8mKvIMDJol,5,5
0Fa5HVwBkPjNdtC3IVqRom,2,2
0FbZgT0gzFe6VCAZdhtFT5,2,2
0FcYoRbrZ9eR2bc5nw6feN,3,3
0FcugfDDQLytPUHZemedU5,2,2
0FjwrnkoCQOVu67Urzkq3P,2,2
0FnEFCpMwTzACVJ7nnDf4H,2,2
0FnNvh5Azabpbfb7xSmZpj,2,2
0Fnr9uVtG6txfh1TyIyI5s,2,2
0FrFqoPT7JB0ezIU9g2OLC,5,5
0FtOxBrDP67usYNbqOuy7T,2,2
0FzGKD3N0jK6nNOyOJBvNG,2,2
0Fzt24jmCa6G0ED7pW3IM1,2,2
0G1BEi8ByngMCJqcPnDACw,3,3
0G3PPOWMMPwBJIEH7Udnsu,2,2
0G59rX2uOta2lX83SfB8Rk,2,2
0G5N8E8nEQXtlnxi2Xfrj3,2,2
0G5RmMCg44lYXCCg9EJ7qe,4,4
0GA5sWfvCcZOTA0Ey6jwLw,2,2
0GBiT1wHV68bU0Cv8ZU2HZ,2,2
0GDAt9fPbs9tPqg2n4ne5u,2,1
